Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
522073,HITECHGEAR,The Hi-Tech Gears Ltd,03 Jul 2000,-,-,18 Jul 2000,25 Jul 2000,03 Jul 2000,14 Jul 2000,-
500820,ASIANPAINT,ASIAN PAINTS LTD.,02 Aug 2000,Bonus issue 3:5       ,-,17 Aug 2000,24 Aug 2000,02 Aug 2000,11 Aug 2000,-
522074,ELGIEQUIP,ELGI EQUIPMENTS LTD.,02 Aug 2000,Bonus issue 1:1       ,-,17 Aug 2000,31 Aug 2000,02 Aug 2000,11 Aug 2000,-
526089,ROOFITIND,ROOFIT INDUSTRIES LTD.,11 Sep 2000,Bonus issue 1:1       ,-,25 Sep 2000,04 Oct 2000,11 Sep 2000,22 Sep 2000,-
505890,KENNAMET,KENNAMETAL INDIA LTD.-$,19 Sep 2000,Bonus issue 1:1       ,04 Oct 2000,-,-,19 Sep 2000,29 Sep 2000,-
523886,MICROINK,MICRO INKS LTD.,30 Oct 2000,Bonus issue 1:1       ,14 Nov 2000,-,-,30 Oct 2000,10 Nov 2000,-
517334,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,15 Nov 2000,Bonus issue 1:2       ,30 Nov 2000,-,-,15 Nov 2000,28 Nov 2000,-
500873,KOCHIREF,KOCHI REFINERIES LTD.,16 Nov 2000,Bonus issue 1:1       ,01 Dec 2000,-,-,16 Nov 2000,29 Nov 2000,-
507777,SILTP,SILTAP CHEMICALS LTD.,27 Nov 2000,Bonus issue 1:2       ,12 Dec 2000,-,-,27 Nov 2000,08 Dec 2000,-
526089,ROOFITIND,ROOFIT INDUSTRIES LTD.,30 Nov 2000,Bonus issue 1:1       ,15 Dec 2000,-,-,30 Nov 2000,13 Dec 2000,-
531936,BLUECHIP,BLUE CHIP INDIA LTD.,01 Dec 2000,Bonus issue 2:5       ,16 Dec 2000,-,-,01 Dec 2000,14 Dec 2000,-
530517,RELAXO,RELAXO FOOTWEARS LTD.-$,08 Dec 2000,Bonus issue 1:1       ,23 Dec 2000,-,-,08 Dec 2000,20 Dec 2000,-
500547,BPCL,BHARAT PETROLEUM CORPORATION LTD.,20 Dec 2000,Bonus issue 1:1       ,05 Jan 2001,-,-,20 Dec 2000,03 Jan 2001,-
500135,ESSELPRO,ESSEL PROPACK LTD.,21 Dec 2000,Bonus issue 3:5       ,06 Jan 2001,-,-,21 Dec 2000,04 Jan 2001,-
532211,SUNEARTH,SUN EARTH CERAMICS LTD.,05 Feb 2001,Bonus issue 1:1       ,20 Feb 2001,-,-,05 Feb 2001,14 Feb 2001,-
500116,IDBI,IDBI BANK LTD.,12 Feb 2001,Bonus issue 3:5       ,26 Feb 2001,-,-,12 Feb 2001,23 Feb 2001,-
532285,GEOJITFSL,Geojit Financial Services Ltd,13 Feb 2001,Bonus issue 1:1       ,01 Mar 2001,-,-,13 Feb 2001,26 Feb 2001,-
501150,CENTRUM,CENTRUM CAPITAL LTD.,27 Mar 2001,Bonus issue 2:1       ,17 Apr 2001,-,-,27 Mar 2001,12 Apr 2001,-
512267,MMWL,MEDIA MATRIX WORLDWIDE LTD.,14 Jun 2001,Bonus issue 2:1       ,29 Jun 2001,-,-,14 Jun 2001,27 Jun 2001,-
532254,POLARIS,Polaris Consulting & Services Limited,04 Jul 2001,Bonus issue 1:2       ,19 Jul 2001,-,-,04 Jul 2001,17 Jul 2001,-
524084,MONSANTO,MONSANTO INDIA LTD.,13 Aug 2001,Bonus issue 1:1       ,31 Aug 2001,-,-,13 Aug 2001,29 Aug 2001,-
517530,SURANAT&P,Surana Telecom And Power Limited,13 Aug 2001,Bonus issue 3:2       ,31 Aug 2001,-,-,13 Aug 2001,29 Aug 2001,-
515030,ASAHIINDIA,ASAHI INDIA GLASS LTD.,14 Aug 2001,Bonus issue 1:1       ,01 Sep 2001,-,-,14 Aug 2001,30 Aug 2001,-
509069,INFOMEDIA,INFOMEDIA PRESS LTD.,29 Aug 2001,-,13 Sep 2001,-,-,29 Aug 2001,11 Sep 2001,-
532308,EONOUR,EONOUR TECHNOLOGIES LTD.,04 Sep 2001,Bonus issue 2:1       ,19 Sep 2001,-,-,04 Sep 2001,17 Sep 2001,-
530149,KSLIND,KSL AND INDUSTRIES LTD.-$,11 Sep 2001,-,-,26 Sep 2001,28 Sep 2001,11 Sep 2001,24 Sep 2001,-
530049,JJEXPO,J.J.EXPORTERS LTD.,17 Sep 2001,Bonus issue 1:2       ,01 Oct 2001,-,-,17 Sep 2001,27 Sep 2001,-
531209,NUCLEUS,NUCLEUS SOFTWARE EXPORTS LTD.,17 Sep 2001,Bonus issue 1:2       ,01 Oct 2001,-,-,17 Sep 2001,27 Sep 2001,-
530555,PARACABLES,PARAMOUNT COMMUNICATIONS LTD.-$,20 Sep 2001,Bonus issue 2:5       ,05 Oct 2001,-,-,20 Sep 2001,03 Oct 2001,-
523261,VENKYS,VENKY'S (INDIA) LTD.,10 Oct 2001,Bonus issue 1:3       ,25 Oct 2001,-,-,10 Oct 2001,22 Oct 2001,-
523151,OTCO,OTCO INTERNATIONAL LTD.,16 Oct 2001,Bonus issue 2:1       ,31 Oct 2001,-,-,16 Oct 2001,29 Oct 2001,-
531933,WASHISOF,WASHINGTON SOFTWARES LTD.,09 Nov 2001,Bonus issue 1:2       ,28 Nov 2001,-,-,09 Nov 2001,23 Nov 2001,-
531120,PATELENG,PATEL ENGINEERING LTD.-$,13 Nov 2001,Bonus issue 1:2       ,30 Nov 2001,-,-,13 Nov 2001,27 Nov 2001,-
517536,ONWARDTEC,ONWARD TECHNOLOGIES LTD.,20 Nov 2001,Bonus issue 3:2       ,05 Dec 2001,-,-,20 Nov 2001,03 Dec 2001,-
505840,JAIPAN,JAIPAN INDUSTRIES LTD.,10 Dec 2001,Bonus issue 1:1       ,-,23 Dec 2001,30 Dec 2001,10 Dec 2001,20 Dec 2001,-
532440,MPSLTD,MPS LTD.,31 Dec 2001,Bonus issue 1:1       ,18 Jan 2002,-,-,31 Dec 2001,21 Jan 2002,-
532323,SHIVACEM,SHIVA CEMENT LTD.,30 Jan 2002,Bonus issue 1:2       ,12 Feb 2002,-,-,30 Jan 2002,07 Feb 2002,-
520008,RICOAUTO,RICO AUTO INDUSTRIES LTD.,13 Mar 2002,Bonus issue 1:1       ,27 Mar 2002,-,-,13 Mar 2002,20 Mar 2002,-
509650,ZHINDHSG,HINDUSTAN HOUSING CO.LTD.,06 Sep 2002,Bonus issue 3:1       ,27 Sep 2002,-,-,06 Sep 2002,01 Oct 2002,-
