Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
522074,ELGIEQUIP,ELGI EQUIPMENTS LTD.,02 Aug 2000,-,-,17 Aug 2000,31 Aug 2000,02 Aug 2000,11 Aug 2000,-
511371,VATCO,VATSA CORPORATIONS LTD.,11 Sep 2000,-,25 Sep 2000,-,-,11 Sep 2000,22 Sep 2000,-
505890,KENNAMET,KENNAMETAL INDIA LTD.-$,19 Sep 2000,-,04 Oct 2000,-,-,19 Sep 2000,29 Sep 2000,-
523704,MASTEK,MASTEK LTD.,30 Oct 2000,-,14 Nov 2000,-,-,30 Oct 2000,10 Nov 2000,-
500288,MOREPENLAB,MOREPEN LABORATORIES LTD.,07 Nov 2000,-,22 Nov 2000,-,-,07 Nov 2000,20 Nov 2000,-
523592,JENSONICOL,JENSON & NICHOLSON (INDIA) LTD.,13 Nov 2000,-,27 Nov 2000,-,-,13 Nov 2000,24 Nov 2000,-
511618,JIKIND,JIK INDUSTRIES LTD.,14 Nov 2000,-,29 Nov 2000,-,-,14 Nov 2000,27 Nov 2000,-
500480,CUMMINSIND,CUMMINS INDIA LTD.,20 Nov 2000,-,04 Dec 2000,-,-,20 Nov 2000,01 Dec 2000,-
532281,HCLTECH,HCL TECHNOLOGIES LTD.,27 Nov 2000,-,12 Dec 2000,-,-,27 Nov 2000,08 Dec 2000,-
500096,DABUR,DABUR INDIA LTD.,30 Nov 2000,-,15 Dec 2000,-,-,30 Nov 2000,13 Dec 2000,-
514221,KLIFESTYL,K-Lifestyle & Industries Limited,04 Dec 2000,-,-,19 Dec 2000,23 Dec 2000,04 Dec 2000,15 Dec 2000,-
530517,RELAXO,RELAXO FOOTWEARS LTD.-$,08 Dec 2000,-,23 Dec 2000,-,-,08 Dec 2000,20 Dec 2000,-
517473,DATAPRO,DATAPRO INFORMATION TECHNOLOGY LTD.,22 Dec 2000,-,08 Jan 2001,-,-,22 Dec 2000,05 Jan 2001,-
530643,ECORECO,ECO RECYCLING LTD.,01 Jan 2001,-,-,15 Jan 2001,22 Jan 2001,01 Jan 2001,12 Jan 2001,-
