Company,Ratio,AnnouncementDate,RecordDate,Ex-Bonus
Premier,1:1,12-01-1987,-,09-12-1986
Bosch,1:1,03-09-1986,-,26-09-1986
SPIC,1:1,11-09-1986,-,17-06-1986
Harrisons Malay,2:5,27-01-1988,-,04-12-1987
Futura,1:2,23-08-1986,-,20-11-1987
Bombay Dyeing,1:1,17-06-1987,-,05-01-1987
Mukand,1:2,11-09-1988,-,13-12-1988
Tata Global Bev,2:5,25-07-1988,-,28-11-1988
Grasim,3:4,11-02-1988,-,18-10-1988
Reckitt,1:1,25-04-1988,-,19-09-1988
Finolex Cables,4:5,29-04-1988,-,28-07-1988
MPIL Corp,3:5,03-09-1988,-,24-06-1988
Windsor,1:2,21-09-1988,-,13-05-1988
Raymond,1:1,03-09-1988,-,29-01-1988
Nalwa Sons,1:1,29-04-1989,-,21-12-1989
Voltas,1:2,30-01-1989,30-01-1990,12-12-1989
Ingersoll Rand,1:1,11-09-1989,-,10-11-1989
Trent,1:2,06-11-1989,-,10-11-1989
Indian Hotels,1:2,29-04-1989,-,26-10-1989
Hind Dorr-Olive,1:1,22-09-1989,-,16-10-1989
Kesar Ent,1:1,11-09-1989,-,13-10-1989
Chaman Lal Seti,3:5,11-09-1989,-,09-10-1989
Nestle,3:5,18-07-1989,-,09-10-1989
Polychem,2:1,06-08-1989,-,04-10-1989
KSB Pumps,1:1,25-04-1989,-,15-09-1989
Tata SSL,1:2,29-04-1989,-,15-09-1989
ITC,1:1,29-04-1989,-,31-08-1989
SKF India,1:1,19-08-1989,-,12-05-1989
Brabourne Enter,1:2,29-04-1989,-,21-03-1989
Kinetic Eng,1:1,11-09-1989,-,03-03-1989
Assoc Stone,1:1,25-07-1990,-,18-12-1990
Indian Hume,1:2,11-02-1989,-,11-12-1990
Novartis India,1:2,16-01-1990,16-01-1991,10-12-1990
Polychem,2:3,06-08-1991,-,10-12-1990
BASF,1:2,12-06-1990,-,30-11-1990
Shri Dinesh Mil,3:5,20-12-1990,20-12-1990,22-11-1990
Castrol,3:5,15-08-1990,15-12-1990,21-11-1990
Castrol,3:5,15-12-1990,15-12-1990,21-11-1990
Electric Contro,1:1,11-09-1990,-,16-11-1990
Stanrose Financ,1:2,19-04-1990,-,16-11-1990
Udaipur Phos,1:3,11-09-1990,-,07-11-1990
German Remedies,1:1,11-09-1990,-,05-11-1990
Everest Ind,1:1,03-05-1990,-,05-11-1990
Foods and Inns,1:1,20-01-1990,-,05-11-1990
Kalyani Steels,1:1,16-08-1990,-,05-11-1990
Fulford,1:1,24-07-1990,-,22-10-1990
Transpek,2:5,08-11-1990,08-11-1990,11-10-1990
Mah Scooters,1:1,26-09-1990,26-09-1990,25-09-1990
Windsor,1:1,01-11-1990,01-11-1990,21-09-1990
Rathi Alloys,1:1,16-10-1990,16-10-1990,21-09-1990
Suryavanshi Spg,1:1,18-09-1990,18-09-1990,05-09-1990
Hindalco,3:5,11-09-1990,-,03-09-1990
Tata Chemicals,1:2,15-09-1990,15-09-1990,10-08-1990
Goodyear,1:1,06-08-1990,06-08-1990,08-08-1990
RPG Transmissio,1:1,01-08-1990,01-08-1990,29-06-1990
Vapi Paper,1:1,31-05-1990,31-05-1990,04-05-1990
Warren Tea,1:1,03-01-1990,03-05-1990,10-04-1990
Tokyo Plast,1:1,11-09-1990,-,23-03-1990
Whirlpool,1:1,24-04-1990,24-04-1990,23-03-1990
Williamson Tea,1:2,23-03-1990,23-03-1990,14-03-1990
Spartek Ceramic,3:5,16-02-1990,16-02-1990,24-01-1990
Borax Morarji,1:2,03-09-1989,-,16-01-1990
Goodricke Group,1:2,25-01-1990,25-01-1990,04-01-1990
Assam Company,1:1,19-01-1989,19-01-1990,03-01-1990
Adarsh Chemical,2:5,30-09-1992,31-01-1992,23-12-1991
Nahar Intl,1:1,30-09-1992,27-01-1992,23-12-1991
Balsara Hygiene,1:1,30-09-1992,31-01-1992,21-12-1991
Dalmia Sugar,1:1,30-09-1992,01-02-1992,21-12-1991
IAG Company,1:1,30-09-1992,09-01-1992,16-12-1991
Balkrishna Ind,1:1,30-09-1991,14-01-1992,16-12-1991
Amzel Auto,1:2,30-09-1992,10-01-1992,16-12-1991
ITC,3:5,30-09-1991,15-01-1992,12-12-1991
IVP,1:2,30-09-1991,30-12-1991,29-11-1991
Birla Corp,1:2,30-09-1991,18-12-1991,29-11-1991
Arlem Breweries,1:2,30-09-1991,17-12-1991,18-11-1991
Neelamalai Agro,1:1,30-09-1991,18-12-1991,18-11-1991
Elantas Beck,1:2,30-09-1991,16-12-1991,18-11-1991
SmithKline Phar,2:5,11-12-1991,11-12-1991,18-11-1991
Colgate,3:5,30-09-1991,16-12-1991,15-11-1991
Merck,1:2,30-09-1991,12-12-1991,05-11-1991
Jam Shri Ranjit,1:1,24-12-1991,24-12-1991,05-11-1991
Zandu Realty,1:1,30-09-1991,19-12-1991,05-11-1991
GRP,1:1,30-09-1991,23-12-1991,02-11-1991
Ranbaxy Labs,2:3,30-09-1991,26-11-1991,18-10-1991
Goa Carbon,1:1,30-09-1991,26-11-1991,18-10-1991
Blow Plast,1:1,30-09-1991,12-11-1991,04-10-1991
Bhoruka Steel,3:5,30-09-1991,12-11-1991,04-10-1991
Industrial Inv,1:2,30-09-1991,01-11-1991,04-10-1991
Bhagyanagar Ind,1:1,30-09-1991,05-11-1991,04-10-1991
Bishnauth Tea,1:1,30-09-1991,12-11-1991,04-10-1991
GIS Ltd,1:2,17-09-1991,17-09-1991,03-10-1991
Alfa Laval,1:2,30-09-1991,22-10-1991,16-09-1991
Simplex Realty,1:7,30-09-1991,14-10-1991,13-09-1991
Voith Paper Fab,3:5,30-09-1991,27-09-1991,09-09-1991
Bajaj Holdings,1:1,30-09-1991,15-10-1991,06-09-1991
Century,3:5,30-09-1991,08-10-1991,06-09-1991
TCPL Packaging,1:1,30-09-1991,16-09-1991,02-09-1991
RSWM,1:1,30-09-1991,17-09-1991,23-08-1991
Piramal Enter,1:1,30-09-1991,25-09-1991,23-08-1991
VST,3:5,30-09-1991,17-09-1991,23-08-1991
AYM Syntex,3:5,30-09-1991,27-08-1991,02-08-1991
Reckitt,3:5,30-09-1991,29-08-1991,02-08-1991
HUL,1:2,30-09-1991,21-08-1991,19-07-1991
