NseCode,Company,Ratio,AnnouncementDate,RecordDate,Ex-Bonus
notScraping,Assoc Stone,1:1,25-07-1990,-,18-12-1990
notScraping,Indian Hume,1:2,11-02-1989,-,11-12-1990
notScraping,Novartis India,1:2,16-01-1990,16-01-1991,10-12-1990
notScraping,Polychem,2:3,06-08-1991,-,10-12-1990
notScraping,BASF,1:2,12-06-1990,-,30-11-1990
SHRIDINESH,Shri Dinesh Mil,3:5,20-12-1990,20-12-1990,22-11-1990
CASTROLIND,Castrol,3:5,15-08-1990,15-12-1990,21-11-1990
CASTROLIND,Castrol,3:5,15-12-1990,15-12-1990,21-11-1990
,Electric Contro,1:1,11-09-1990,-,16-11-1990
,Stanrose Financ,1:2,19-04-1990,-,16-11-1990
,Udaipur Phos,1:3,11-09-1990,-,07-11-1990
GERMANREM,German Remedies,1:1,11-09-1990,-,05-11-1990
EVERESTIND,Everest Ind,1:1,03-05-1990,-,05-11-1990
notScraping,Foods and Inns,1:1,20-01-1990,-,05-11-1990
KSL,Kalyani Steels,1:1,16-08-1990,-,05-11-1990
FULFORD,Fulford,1:1,24-07-1990,-,22-10-1990
TRANSPEK,Transpek,2:5,08-11-1990,08-11-1990,11-10-1990
MAHSCOOTER,Mah Scooters,1:1,26-09-1990,26-09-1990,25-09-1990
notScraping,Windsor,1:1,01-11-1990,01-11-1990,21-09-1990
RATHIALLOY,Rathi Alloys,1:1,16-10-1990,16-10-1990,21-09-1990
SURYVANSPG,Suryavanshi Spg,1:1,18-09-1990,18-09-1990,05-09-1990
HINDALCO,Hindalco,3:5,11-09-1990,-,03-09-1990
TATACHEM,Tata Chemicals,1:2,15-09-1990,15-09-1990,10-08-1990
GOODYEAR,Goodyear,1:1,06-08-1990,06-08-1990,08-08-1990
RPGTLTD,RPG Transmissio,1:1,01-08-1990,01-08-1990,29-06-1990
,Vapi Paper,1:1,31-05-1990,31-05-1990,04-05-1990
WARRENTEA,Warren Tea,1:1,03-01-1990,03-05-1990,10-04-1990
TOKYOPLAST,Tokyo Plast,1:1,11-09-1990,-,23-03-1990
notScraping,Whirlpool,1:1,24-04-1990,24-04-1990,23-03-1990
GEORGWILIM,Williamson Tea,1:2,23-03-1990,23-03-1990,14-03-1990
SPARTEK,Spartek Ceramic,3:5,16-02-1990,16-02-1990,24-01-1990
,Borax Morarji,1:2,03-09-1989,-,16-01-1990
GOODRICKE,Goodricke Group,1:2,25-01-1990,25-01-1990,04-01-1990
ASSAMCO,Assam Company,1:1,19-01-1989,19-01-1990,03-01-1990
ADARSHCHEM,Adarsh Chemical,2:5,30-09-1992,31-01-1992,23-12-1991
NAHARINTL,Nahar Intl,1:1,30-09-1992,27-01-1992,23-12-1991
,Balsara Hygiene,1:1,30-09-1992,31-01-1992,21-12-1991
DALMIASUG,Dalmia Sugar,1:1,30-09-1992,01-02-1992,21-12-1991
INDOASAHI,IAG Company,1:1,30-09-1992,09-01-1992,16-12-1991
BALKRISIND,Balkrishna Ind,1:1,30-09-1991,14-01-1992,16-12-1991
,Amzel Auto,1:2,30-09-1992,10-01-1992,16-12-1991
ITC,ITC,3:5,30-09-1991,15-01-1992,12-12-1991
notScraping,IVP,1:2,30-09-1991,30-12-1991,29-11-1991
BIRLACORPN,Birla Corp,1:2,30-09-1991,18-12-1991,29-11-1991
