Company,OldFV,NewFV,SplitDate
Tata Steel,100,10,23-10-1989
Reliance Infra,100,10,19-10-1989
Greaves Cotton,100,10,25-07-1990
Greaves Cotton,100,10,25-07-1990
Tayo Rolls,100,10,28-05-1990
Schaeffler Ind,100,10,23-03-1990
Guj Steel Tubes,100,10,20-03-1990
Ferro Alloys,100,10,02-03-1990
Citadel Realty,100,10,15-01-1990
Standard Ind,100,10,05-01-1990
Hindoostan Spg,250,10,23-12-1991
Sanofi India,100,10,18-11-1991
Simplex Realty,50,10,06-05-1991
Bajaj Hindustha,100,10,06-05-1991
NELCO,100,10,14-12-1992
Saurashtra Cem,100,10,24-11-1992
Shree Vallabh,100,10,21-10-1992
Adarsh Chemical,100,10,23-07-1992
SI Shipping,100,10,21-07-1992
Kochi Refin,100,10,15-07-1992
SIV Industries,100,10,29-02-1992
Emco,100,10,28-02-1992
Gujchem Distill,100,10,10-02-1992
NRC,100,10,16-11-1993
TorrentPowerAEC,100,10,13-11-1993
TorrentPowerSEC,100,10,20-10-1993
Jam Shri Ranjit,100,10,08-10-1993
Torrent Cab_D,100,10,16-03-1993
Ruby Mills,100,10,25-01-1993
Ruby Mills,100,10,25-01-1993
Binani Ind,100,10,21-11-1994
Trans Freight,100,10,12-09-1994
Cipla,100,10,29-07-1994
Chicago Pneum,100,10,25-03-1994
Shree Digvijay,100,10,24-11-1995
Bombay Burmah,100,10,16-11-1995
West Coast Pap,100,10,18-07-1995
Cellulose Prods,100,10,15-06-1995
Tata Hydro,100,10,23-05-1995
Andhra Valley,100,10,23-05-1995
Tata Power,100,10,22-05-1995
Mangal Credit,100,10,23-03-1995
NOCIL,100,10,10-03-1995
Killick Nixon,100,10,09-03-1995
Bajaj Electric,100,10,20-01-1995
Cabot India,100,10,10-12-1996
KFA Corporation,100,10,20-08-1996
Permanent Magne,100,10,16-05-1996
Industrial Inv,100,10,09-04-1996
Baroda Electric,100,10,05-02-1996
Lakshmi Finance,100,10,01-01-1996
Baroda Rayon,100,10,13-02-1997
Baroda Rayon,100,10,13-02-1997
Zee Entertain,10,1,06-12-1999
Wipro,10,2,27-09-1999
Datapro Info,10,2,25-12-2000
Jenson Nicholso,10,2,04-12-2000
Dabur India,10,1,27-11-2000
HCL Tech,4,2,27-11-2000
Cummins,10,2,20-11-2000
JIK Industries,10,1,13-11-2000
Morepen Lab,10,2,07-11-2000
Novartis India,10,5,06-11-2000
Mastek,10,5,26-10-2000
Moh Granites,10,1,03-10-2000
Cyberspace Info,10,2,26-09-2000
Sonata,10,1,25-09-2000
Sterlite Ind,10,5,25-09-2000
PharmaciaHealth,10,5,25-09-2000
Socrus Bio Scie,10,1,25-09-2000
Pan India Corp,10,1,18-09-2000
Kennametal,100,10,18-09-2000
Flextronics,10,5,11-09-2000
Vatsa Corp,10,1,30-08-2000
Eskay Knit,10,4,21-08-2000
Jayant Agro-Org,10,5,21-08-2000
Mahindra Satyam,10,2,07-08-2000
Elgi Equipments,10,1,02-08-2000
HUL,10,1,03-07-2000
Information Tec,10,5,19-06-2000
Computech Inter,10,5,15-05-2000
Vatsa Music,10,1,10-05-2000
Dolat Investmen,10,1,02-05-2000
Polaris Consult,10,5,02-05-2000
BLB,10,1,02-05-2000
Infosys,10,5,24-01-2000
Socrus Bio Scie,1,10,10-12-2001
Eonour Tech,10,2,26-11-2001
Dr Reddys Labs,10,5,10-10-2001
SKF India,100,10,01-10-2001
DSJ Comm,10,1,10-09-2001
Credence Sound,10,2,10-09-2001
Pan India Corp,1,10,20-08-2001
Swasti Vinayaka,10,1,30-07-2001
Bhuvan Tripura,10,1,16-07-2001
Vatsa Education,10,1,02-07-2001
Top Telemedia,10,1,18-06-2001
Alka India,10,1,04-06-2001
Navyug Elect,10,1,28-05-2001
Infraquest Intl,10,1,28-05-2001
Kashyap Tele,10,1,30-04-2001
Hero Motocorp,10,2,12-03-2001
Database Fin,10,1,26-02-2001
ATN Telefilms,10,2,26-02-2001
Cistro Telelink,10,1,19-02-2001
Vikas WSP,10,1,22-01-2001
BITS,10,2,08-01-2001
Patel Eng,10,5,02-01-2001
Intl Paper APPM,100,10,01-01-2001
Harvic Manage,10,1,31-12-2002
Oasis Media,10,1,30-12-2002
Sanyo Impex,10,1,18-12-2002
Media Matrix,10,1,15-11-2002
Jubilant Life,10,5,12-11-2002
Gufic Bio,10,1,29-10-2002
Motherson Sumi,10,5,22-10-2002
Goyal Associate,10,1,22-10-2002
Asahi India,10,1,08-10-2002
Innovision eCom,10,1,07-10-2002
Mega Corp,10,1,26-09-2002
Arvind Remedies,10,1,23-09-2002
Balaji Telefilm,10,2,23-09-2002
Dynacons Sys,10,2,19-09-2002
White Lion Asia,10,1,17-09-2002
Hit Kit Global,10,2,13-08-2002
Iris Mediaworks,10,5,24-07-2002
Seagull Leafin,10,1,28-06-2002
Sanwaria Consum,10,5,11-06-2002
PTL Enterprises,100,10,27-05-2002
FDC,10,1,14-05-2002
Polson,100,50,10-04-2002
E.Star Info,10,2,27-03-2002
Panoramic Uni,10,5,13-03-2002
Smartlink Net,10,2,28-02-2002
Blue Chip,10,2,28-02-2002
Wadala,10,1,20-02-2002
Infraquest Intl,1,10,14-02-2002
Shiva Cement,10,2,30-01-2002
Top Telemedia,1,10,09-01-2002
Soundcraft Ind,10,2,07-01-2002
Fourth Gen Info,10,2,07-01-2002
Sterling Bio,10,2,07-01-2002
Havells India,10,5,30-12-2003
Jindal Steel,10,5,22-12-2003
Deccan Gold,10,1,22-12-2003
TVS Motor,10,1,18-12-2003
Sagar Product,10,1,16-12-2003
Mirc Electronic,10,1,16-12-2003
LG Balakrishnan,10,1,09-12-2003
NESCO,100,10,04-12-2003
Baffin Engg,10,1,02-12-2003
Bayer CropScien,100,10,24-11-2003
Amardeep,10,1,18-11-2003
Shukun Cons,10,1,18-11-2003
Amraworld,10,1,18-11-2003
Ramco Cements,100,10,06-11-2003
Glenmark,10,2,23-10-2003
Aurobindo Pharm,10,5,23-10-2003
Platinum Corp,10,1,23-09-2003
T Spirutual,10,2,11-08-2003
Sun Techno,10,1,15-07-2003
Shalimar Prod,10,1,03-07-2003
Eltrol,10,1,22-04-2003
Syschem India,10,1,22-04-2003
Panacea Biotec,10,1,03-02-2003
Khyati Multimed,10,1,03-02-2003
Sat Ind,10,2,27-01-2003
Venus Universal,10,3,23-01-2003
