NseCode,Company,OldFV,NewFV,SplitDate
MUNJALAU,Munjal Auto Ind,10,2,29-12-2011
,Odyssey Corp,10,5,23-12-2011
DPSCLTD,DPSC,10,1,15-12-2011
,Santowin Corp,2,1,01-12-2011
,GFL Financials,10,5,29-11-2011
,Mah Polybutenes,10,1,14-11-2011
notScraping,Sezal Glass,1,10,09-11-2011
,Maximaa Systems,10,2,04-11-2011
DSSL,Dynacons Sys,1,10,03-11-2011
METKORE,Metkore Alloys,10,2,03-11-2011
notScraping,VIP Industries,10,2,31-10-2011
,Innovative Tech,10,1,28-10-2011
,Blue Circle Ser,10,1,21-10-2011
,Best Eastern,10,2,20-10-2011
notScraping,Vertex Sec,10,2,17-10-2011
CARBORUNIV,Carborundum,2,1,05-10-2011
PAISALO,Paisalo Digital,1,10,04-10-2011
HATSUN,Hatsun Agro,2,1,03-10-2011
BHEL,BHEL,10,2,03-10-2011
NCOPPER,Nissan Copper,1,10,29-09-2011
CRISIL,CRISIL,10,1,28-09-2011
TATAPOWER,Tata Power,10,1,26-09-2011
,Khaitan Chem,10,1,14-09-2011
,Tilak Ventures,10,1,13-09-2011
,Banas Finance,10,1,12-09-2011
TATAMTRDVR,TML-D,10,2,12-09-2011
TATAMOTORS,Tata Motors,10,2,12-09-2011
,Vaarad Ventures,2,1,09-09-2011
,Supertex Ind,1,10,07-09-2011
NELCAST,Nelcast,10,2,06-09-2011
,Vijay Textiles,1,10,02-09-2011
,Walchand People,100,10,30-08-2011
,Rockon Fintech,5,1,25-08-2011
,CCL Internation,10,2,17-08-2011
PIIND,PI Industries,10,5,17-08-2011
WABAG,Va Tech Wabag,5,2,16-08-2011
notScraping,Grauer and Weil,10,1,11-08-2011
,GCV Services,5,1,05-08-2011
WINSOME,Winsome Yarns,1,10,04-08-2011
RALLIS,Rallis India,10,1,15-07-2011
,Winsome Textile,1,10,15-07-2011
ORICONENT,Oricon Ent,10,2,14-07-2011
HDFCBANK,HDFC Bank,10,2,14-07-2011
,Le Waterina,10,1,04-07-2011
TITAN,Titan Company,10,1,23-06-2011
COX&KINGS,Cox & Kings,10,5,21-06-2011
RASOYPR,Rasoya Protein,10,5,21-06-2011
notScraping,Windsor,4,2,16-06-2011
RAIN,Rain Industries,10,2,15-06-2011
,LS Industries,10,1,14-06-2011
,Chandni Textile,10,1,06-06-2011
,Minal Ind,10,2,02-06-2011
,Volant Tex,10,1,01-06-2011
,Hindoostan Mill,100,10,25-05-2011
,Santowin Corp,10,2,16-05-2011
BAJAJCON,Bajaj Consumer ,5,1,05-05-2011
,Intellivate Cap,10,1,27-04-2011
,Bafna Spinning,5,1,13-04-2011
,Tuni Textile,10,1,07-04-2011
,Nouveau Global,10,1,07-04-2011
,Dazzel Confi,10,1,31-03-2011
,Ador Fontech,10,2,28-03-2011
,Exelon Infra,10,5,24-03-2011
NATIONALUM,NALCO,10,5,15-03-2011
HINDZINC,Hind Zinc,10,2,07-03-2011
,Gujarat Metal,10,100,04-03-2011
notScraping,Nicco Parks,10,1,24-02-2011
,GCV Services,10,5,23-02-2011
,Visagar Fin,10,2,21-02-2011
,Jay Energy,10,2,14-02-2011
GLODYNE,Glodyne Techno,10,6,10-02-2011
AUROPHARMA,Aurobindo Pharm,5,1,10-02-2011
ONGC,ONGC,10,5,08-02-2011
,Aurum Soft,10,2,03-02-2011
CORAL-HUB,Coral Hub,1,10,03-02-2011
,APM Industries,10,2,27-01-2011
,Amrapali Ind,10,5,27-01-2011
notScraping,Rossell India,10,2,20-01-2011
SHOPERSTOP,Shoppers Stop,10,5,12-01-2011
NTL,Neueon Towers,5,1,10-01-2011
,Prism Info,10,1,06-01-2011
,Anukaran Commer,10,1,27-12-2012
UJAAS,Ujaas Energy,10,1,21-12-2012
,Global Infra,10,1,13-12-2012
PRAKASHCON,Prakash Constro,10,1,13-12-2012
,Nouveau Global,1,10,10-12-2012
,Guj Narmada Fly,10,5,07-12-2012
,Sunbright Stock,10,5,07-12-2012
,Insta Finance,10,5,06-12-2012
NACLIND,Nacl Industries,10,1,22-11-2012
SHALPAINTS,Shalimar Paints,10,2,22-11-2012
RUBYMILLS,Ruby Mills,10,5,22-11-2012
BBTC,Bombay Burmah,10,2,08-11-2012
,Rockon Fintech,1,10,02-11-2012
KANANIIND,Kanani Ind,5,1,01-11-2012
,Sikozy Realtors,10,1,01-11-2012
,Unno Industries,10,1,01-11-2012
,SMS Techsoft,10,1,01-11-2012
,Baroda Extrusio,10,1,31-10-2012
BOMDYEING,Bombay Dyeing,10,2,30-10-2012
ORISSAMINE,Orissa Minerals,10,1,29-10-2012
AMRUTANJAN,Amrutanjan Heal,10,2,25-10-2012
,Dhenu Buildcon,10,1,25-10-2012
GOENKA,Goenka Diamond,10,1,25-10-2012
,DJS Stock,10,1,23-10-2012
,Zyden Gentec,1,10,26-09-2012
AMARAJABAT,Amara Raja Batt,2,1,25-09-2012
GSFC,GSFC,10,2,20-09-2012
,KMF Builders,10,5,17-08-2012
VTMLTD,VTM,10,1,16-08-2012
,Safal Herbs,10,1,09-08-2012
notScraping,Ajanta Pharma,10,5,09-08-2012
,Vandana,10,1,02-08-2012
,Steelcast,10,5,25-07-2012
GRUH,GRUH Finance,10,2,24-07-2012
ZYLOG,Zylog Systems,10,5,29-06-2012
,KCCL Plastic,10,2,18-06-2012
RMMIL,Resurgere Mines,1,10,14-06-2012
,Alpha Graphic,10,5,13-06-2012
AVTNPL,AVT Natural,10,1,07-06-2012
,Wagend Infra,10,2,06-06-2012
,Blazon Marbles,10,2,04-06-2012
GRAVITA,Gravita India,10,2,25-05-2012
notScraping,Indoco Remedies,10,2,17-05-2012
ARVINDREM,Arvind Remedies,1,10,14-05-2012
,U. Y. Fincorp,10,5,03-05-2012
,IndiaNivesh,10,1,18-04-2012
VAKRANGEE,Vakrangee,10,1,12-04-2012
,Anjani Synth,1,10,28-03-2012
,JRI Industries,10,2,21-03-2012
,Mahan Ind,1,10,09-03-2012
NDL,Nandan Denim,1,10,07-03-2012
PLASTIBLEN,Plastiblends,10,5,29-02-2012
,Esaar (India),10,1,21-02-2012
SYMPHONY,Symphony,10,2,15-02-2012
,Radhe Developer,1,10,15-02-2012
notScraping,Camlin Fine,10,2,15-02-2012
,Indian Infotech,10,1,02-02-2012
,Nimbus Ind,10,5,27-01-2012
,Anka Ind,5,10,13-01-2012
,Confidence Fin,10,1,30-12-2013
,Universal Sec,10,5,26-12-2013
,KDJ Holidayscap,10,2,26-12-2013
,Bonanza Ind,10,5,19-12-2013
,Aikyam Intellec,10,1,13-12-2013
,First Financial,10,1,13-12-2013
CNOVAPETRO,CIL Nova Petro,5,10,05-12-2013
,Kaiser Corp,10,1,22-11-2013
,Pazel Internati,10,1,22-11-2013
RELAXO,Relaxo Footwear,5,1,22-11-2013
GODREJPROP,Godrej Prop,10,5,21-11-2013
,Best Eastern,2,1,14-11-2013
,Lifeline Drugs,10,1,13-11-2013
,Effingo Textile,10,1,13-11-2013
,Shree Nath Comm,1,10,31-10-2013
,Centron Ind,10,1,25-10-2013
ASHIANA,Ashiana Housing,10,2,24-10-2013
,Atharv Ent,10,1,18-10-2013
FEDERALBNK,Federal Bank,10,2,17-10-2013
notScraping,S R K Ind,10,5,11-10-2013
,Dhanleela,10,2,10-10-2013
,Rander Corp,10,1,09-10-2013
,Intel Cap Adv,10,1,30-09-2013
,Supremex,10,1,30-09-2013
,Ram Minerals,10,1,30-09-2013
,Kyra Landscapes,10,5,30-09-2013
MAYURUNIQ,Mayur Uniquoter,10,5,25-09-2013
,Nyssa Corp,10,1,16-09-2013
ASTRAL,Astral Poly Tec,5,2,05-09-2013
,Syncom Formula,10,1,19-08-2013
CCL,CCL Products,10,2,19-08-2013
,Virtual Global,10,1,14-08-2013
notScraping,Apcotex Ind,10,5,14-08-2013
NTL,Neueon Towers,1,10,07-08-2013
NTL,Neueon Towers,1,10,07-08-2013
ASIANPAINT,Asian Paints,10,1,30-07-2013
,Kelvin Fincap,10,5,24-07-2013
,IFL Promoters,5,1,11-07-2013
ADVANTA,Advanta,10,2,05-07-2013
notScraping,Centrum Capital,10,1,03-07-2013
notScraping,Ashoka Buildcon,10,5,03-07-2013
notScraping,Westlife Dev,10,2,12-06-2013
,Midland Polymer,10,1,10-06-2013
,Linkson Intl,10,5,06-06-2013
,MSR India,10,5,31-05-2013
,Pine Animation,10,1,17-05-2013
notScraping,Mahavir Impex,10,5,17-05-2013
,Veronica Prod,10,5,26-04-2013
,Safal Sec,10,5,23-04-2013
PIIND,PI Industries,5,1,12-04-2013
SPYL,Shekhawati Poly,10,1,10-04-2013
,Surabhi Chemica,10,1,10-04-2013
,Sybly Ind,1,10,04-04-2013
,Mindvision Cap,5,10,26-03-2013
notScraping,Bil Energy,10,1,26-03-2013
RASOYPR,Rasoya Protein,5,1,21-03-2013
