Date,Open,Close,High,Low,Volume
2008-01-01,269.25,263.6375,269.25,263.0,232097.0
2008-01-02,265.0,262.5,265.25,257.875,716231.0
2008-01-03,257.525,252.7625,261.25,251.3375,1292070.0
2008-01-04,252.7625,251.3,255.725,250.575,579717.0
2008-01-07,250.0,243.9,252.2,243.125,911836.0
2008-01-08,245.0,246.9625,248.0,242.325,801933.0
2008-01-09,248.7,249.075,251.5,247.475,612532.0
2008-01-10,249.5,245.4125,252.375,240.5,835594.0
2008-01-11,228.8375,247.4375,251.0,228.8375,537297.0
2008-01-14,249.95,240.2875,249.95,238.9,1039716.0
2008-01-15,241.25,235.0,242.0,233.5,733897.0
2008-01-16,235.0,236.2375,241.675,231.25,782989.0
2008-01-17,241.45,230.675,241.5,229.75,1575524.0
2008-01-18,232.375,225.8,235.0,224.275,1083454.0
2008-01-21,226.0,207.7625,226.175,201.3125,1210008.0
2008-01-22,203.675,199.5625,247.5,181.25,1594218.0
2008-01-23,214.75,217.9875,222.5,201.25,1339780.0
2008-01-24,217.5,210.8125,222.0,206.4375,503334.0
2008-01-25,213.25,221.15,224.425,212.525,560779.0
2008-01-28,217.5,213.575,217.5,206.25,621415.0
2008-01-29,214.0,216.925,221.15,213.75,814678.0
2008-01-30,220.5,217.4625,223.0,215.0,758214.0
2008-01-31,217.5,218.4375,222.5,208.8375,1491739.0
2008-02-01,221.25,232.375,235.275,218.325,1042380.0
2008-02-04,236.25,243.9125,247.25,234.75,932630.0
2008-02-05,240.0,238.7625,243.75,233.9125,430718.0
2008-02-06,232.5,226.525,232.5,223.625,1001988.0
2008-02-07,226.525,219.7625,226.525,217.7625,643663.0
2008-02-08,221.0,224.6,231.25,220.0,644205.0
2008-02-11,224.6,226.525,233.0,215.025,800247.0
2008-02-12,226.25,216.1625,231.25,215.0,1290332.0
2008-02-13,218.75,217.2375,224.25,212.825,546344.0
2008-02-14,221.25,218.45,225.0,215.25,561620.0
2008-02-15,215.0,218.175,221.7625,215.0,553261.0
2008-02-18,218.175,213.3,218.75,212.5,430790.0
2008-02-19,214.0,218.8625,221.0,213.75,486822.0
2008-02-20,219.975,221.525,223.6625,218.3125,765156.0
2008-02-21,224.5,228.6625,232.75,220.5,890513.0
2008-02-22,230.0,225.1375,230.225,221.25,600379.0
2008-02-25,232.0,225.1875,232.25,222.5625,813865.0
2008-02-26,231.0,224.6,231.0,223.75,1249896.0
2008-02-27,227.0,219.3875,228.7125,218.5125,591014.0
2008-02-28,221.25,220.225,222.5,218.0,1394751.0
2008-02-29,220.0,219.35,222.925,215.875,854120.0
2008-03-03,216.5,212.15,217.175,210.0,785332.0
2008-03-04,214.5,214.7,217.5,211.775,752633.0
2008-03-05,211.25,218.825,220.7,211.25,552337.0
2008-03-07,215.65,211.5375,216.525,210.5625,499207.0
2008-03-10,211.5375,208.4125,213.5,207.5,623542.0
2008-03-11,210.0,205.875,210.0,205.0,1010880.0
2008-03-12,209.75,205.8875,212.5,202.5625,471103.0
2008-03-13,203.75,194.925,203.75,190.25,852150.0
2008-03-14,195.0,200.9625,203.225,187.5,554014.0
2008-03-17,193.75,197.9625,199.425,192.1875,489726.0
2008-03-18,197.5,204.425,207.2,192.5,899020.0
2008-03-19,207.0,202.8625,210.0,201.3875,1090481.0
2008-03-24,202.8625,205.925,209.375,202.8625,825496.0
2008-03-25,210.0,219.125,224.9625,208.75,732224.0
2008-03-26,235.0,219.5875,235.0,212.8875,542942.0
2008-03-27,218.0,213.125,219.0,210.275,1537788.0
2008-03-28,213.25,217.7625,218.675,213.0,908424.0
2008-03-31,217.7625,202.6125,217.7625,199.25,1012965.0
2008-04-01,205.0,208.0875,213.225,202.5,521682.0
2008-04-02,212.5,212.8125,217.25,212.3125,357211.0
2008-04-03,212.5,221.35,223.0,212.5,821793.0
2008-04-04,221.5,218.225,222.475,215.0125,505211.0
2008-04-07,223.75,226.025,230.025,219.55,914882.0
2008-04-08,226.25,221.8375,226.75,218.75,1013838.0
2008-04-09,220.0,219.0625,223.0,217.25,370650.0
2008-04-10,220.0,224.8875,229.9125,219.25,731483.0
2008-04-11,225.7625,227.0,231.25,223.3125,547316.0
2008-04-15,230.5,243.5375,246.25,220.1,1425943.0
2008-04-16,246.25,242.975,250.5,240.5,1609692.0
2008-04-17,249.925,250.225,252.5,244.8875,999889.0
2008-04-21,252.25,248.35,258.75,246.65,849824.0
2008-04-22,246.2375,221.8,246.2375,220.5,3446299.0
2008-04-23,221.75,222.2875,226.425,220.0125,1581539.0
2008-04-24,226.0,222.6875,226.225,216.0,3822524.0
2008-04-25,228.0,222.325,228.0,221.25,1707142.0
2008-04-28,202.25,220.425,224.0,180.0,1649534.0
2008-04-29,220.5125,227.6375,232.5,217.5375,4052462.0
2008-04-30,229.025,230.25,233.9375,226.625,2371995.0
2008-05-02,231.25,235.9375,240.5,231.0,1324695.0
2008-05-05,236.25,231.8625,237.375,230.2875,903441.0
2008-05-06,227.5,234.2625,237.5,218.15,995699.0
2008-05-07,237.5,241.6875,244.975,237.5,3146385.0
2008-05-08,241.225,236.75,241.25,229.5,2711458.0
2008-05-09,239.75,229.25,239.75,227.5,1123074.0
2008-05-12,229.25,231.725,233.7125,227.575,974627.0
2008-05-13,232.5,226.2625,235.35,222.25,1115719.0
2008-05-14,226.25,242.7875,244.7375,222.7875,2343297.0
2008-05-15,243.25,246.1875,250.5,240.025,1794474.0
2008-05-16,248.5,245.2625,248.5,242.125,959662.0
2008-05-20,243.75,239.025,247.5,236.8125,1236726.0
2008-05-21,232.0,241.275,242.0,228.75,785046.0
2008-05-22,239.125,240.2875,246.375,237.75,1361300.0
2008-05-23,243.725,233.1,244.925,231.525,1350346.0
2008-05-26,230.0,238.8625,240.725,229.0,1364318.0
2008-05-27,245.0,242.225,248.5,236.5,1420518.0
2008-05-28,242.525,252.3625,253.8125,242.525,1367397.0
2008-05-29,252.25,248.6625,257.0875,246.0,2064735.0
2008-05-30,247.75,259.7875,262.25,244.5,3871321.0
2008-06-02,253.75,245.9625,264.35,241.25,1763691.0
2008-06-03,240.0,243.7875,247.5,234.5375,1225064.0
2008-06-04,247.45,239.1875,247.45,236.5875,946964.0
2008-06-05,241.025,245.4625,249.2,241.0,1476314.0
2008-06-06,247.5,241.55,249.6625,239.45,1034446.0
2008-06-09,225.5625,228.525,241.225,222.5,1535035.0
2008-06-10,227.5,219.75,229.75,216.75,1538843.0
2008-06-11,222.5,222.5875,227.5,220.0,1028342.0
2008-06-12,223.5,222.0625,225.6,214.25,616001.0
2008-06-13,220.0,227.4,230.475,220.0,1683108.0
2008-06-16,229.75,227.7,232.0,225.8125,1635446.0
2008-06-17,226.25,230.325,231.75,226.25,876206.0
2008-06-18,230.2,225.225,230.25,222.75,1607834.0
2008-06-19,220.0625,222.0,224.5,220.0,822267.0
2008-06-20,224.975,215.9625,224.975,210.3875,2039440.0
2008-06-23,215.9625,214.6125,219.8625,210.75,893078.0
2008-06-24,212.5,211.1,216.925,205.85,2321794.0
2008-06-25,210.0,219.2,221.25,207.825,1478549.0
2008-06-26,221.0,220.3375,224.5,215.1,1757079.0
2008-06-27,220.3375,216.375,220.3375,212.7875,1565237.0
2008-06-30,217.75,214.55,219.5,212.5,814511.0
2008-07-01,216.25,211.925,218.0,208.7625,1264904.0
2008-07-02,212.5,219.125,222.0,210.0,2035278.0
2008-07-03,220.25,214.1625,220.25,205.1375,1043132.0
2008-07-04,217.475,211.125,217.5125,208.875,984896.0
2008-07-07,211.25,213.0625,216.0,208.0,448533.0
2008-07-08,207.5375,207.55,211.25,204.5,986906.0
2008-07-09,212.5,219.1875,222.4875,212.5,894637.0
2008-07-10,217.5,217.1,222.25,213.0875,876092.0
2008-07-11,229.25,199.65,235.75,196.35,1380946.0
2008-07-14,200.0,191.9625,200.0,190.25,1139974.0
2008-07-15,191.9625,187.6625,196.6125,184.2875,1127461.0
2008-07-16,188.6625,182.025,193.4125,178.975,1434975.0
2008-07-17,183.75,195.8125,196.725,182.5125,2587679.0
2008-07-18,195.0,198.4625,200.5,187.25,2084874.0
2008-07-21,199.75,203.2,203.75,195.75,895517.0
2008-07-22,204.0,207.9625,210.9875,201.5125,1060291.0
2008-07-23,207.5,215.1375,217.5,204.725,1492855.0
2008-07-24,218.625,200.6375,218.625,198.0875,2935584.0
2008-07-25,199.8,199.8,212.375,195.5,2210634.0
2008-07-28,200.0,201.5625,204.2375,196.25,492343.0
2008-07-29,201.675,202.2375,203.45,198.0,618048.0
2008-07-30,211.5,209.7375,211.5,200.0,1105019.0
2008-07-31,210.0,208.4375,210.5,205.375,1298895.0
2008-08-01,206.25,210.1625,214.2375,202.8125,1002931.0
2008-08-04,203.75,203.8375,210.0,202.75,1309732.0
2008-08-05,203.85,207.425,208.75,201.3125,1192050.0
2008-08-06,209.975,215.1375,217.4875,209.1,1252483.0
2008-08-07,214.75,213.3375,217.475,211.25,768080.0
2008-08-08,211.2375,211.275,214.25,208.35,521668.0
2008-08-11,213.0,208.4875,214.45,206.125,851275.0
2008-08-12,208.75,204.8125,210.925,203.75,830876.0
2008-08-13,200.0,207.075,209.425,200.0,924492.0
2008-08-14,207.25,208.3,211.1625,202.75,935377.0
2008-08-18,210.0,210.3875,213.1,208.75,489162.0
2008-08-19,211.125,210.3125,212.75,208.775,488325.0
2008-08-20,210.675,210.4,212.25,208.75,281814.0
2008-08-21,209.0,204.4625,210.5,203.8,494129.0
2008-08-22,204.75,204.75,206.1875,200.875,661321.0
2008-08-25,206.0,204.55,208.75,204.0,235561.0
2008-08-26,202.4875,208.5125,209.2375,202.4875,551251.0
2008-08-27,205.025,204.6125,209.0,203.275,532947.0
2008-08-28,205.0,198.0875,206.0625,195.6625,1645172.0
2008-08-29,200.0,203.05,204.9875,200.0,499625.0
2008-09-01,203.75,203.7375,205.0,201.75,381858.0
2008-09-02,203.7375,212.2,213.25,203.7375,661962.0
2008-09-04,211.25,211.05,213.7,208.0875,615419.0
2008-09-05,212.5,209.6,212.5,206.25,611342.0
2008-09-08,215.0,214.175,218.6,210.5,1292608.0
2008-09-09,213.75,216.2,217.925,210.0,703832.0
2008-09-10,215.2875,212.725,217.55,212.025,765864.0
2008-09-11,212.725,209.175,217.0,207.25,477244.0
2008-09-12,216.25,202.6375,216.25,200.2375,893491.0
2008-09-15,195.0,190.7,199.75,186.25,2137737.0
2008-09-16,187.375,187.2125,187.75,181.25,1268091.0
2008-09-17,187.0,182.525,191.1625,182.0,1050217.0
2008-09-18,182.0,180.2875,187.25,167.75,1589276.0
2008-09-19,194.925,191.7125,194.925,182.525,2386092.0
2008-09-22,217.0,191.7,217.0,188.25,1118236.0
2008-09-23,178.8375,180.25,191.925,178.8375,741530.0
2008-09-24,181.1375,178.2625,187.0,172.575,1845181.0
2008-09-25,178.275,172.1,179.9625,167.7625,3780658.0
2008-09-26,175.0,169.05,175.0,166.55,1054311.0
2008-09-29,169.7,155.0,169.7,153.0,1394659.0
2008-09-30,148.0,166.4,169.175,147.5,2097843.0
2008-10-01,167.4,167.9375,171.225,161.3375,1504479.0
2008-10-03,166.2375,164.375,166.2375,160.5875,1043101.0
2008-10-06,162.8125,154.75,162.8125,150.0,1470746.0
2008-10-07,157.7875,143.975,166.25,141.5,2221151.0
2008-10-08,138.75,136.65,140.7375,127.0,2075345.0
2008-10-10,135.0,131.2,137.5,120.1,3435519.0
2008-10-13,131.9875,143.2125,150.725,131.2,3466506.0
2008-10-14,149.75,148.175,154.85,145.3375,1856156.0
2008-10-15,146.25,135.775,147.1625,133.825,1327188.0
2008-10-16,131.25,123.75,132.175,116.975,2007950.0
2008-10-17,125.0,113.4625,132.25,111.25,2435885.0
2008-10-20,124.1625,122.8375,126.25,113.8125,3103265.0
2008-10-21,134.6,139.775,141.975,123.3375,2951225.0
2008-10-22,138.75,136.6625,138.75,127.775,1505167.0
2008-10-23,131.1625,136.825,147.0,125.3125,2625254.0
2008-10-24,125.925,124.7125,134.1,110.0,2119984.0
2008-10-27,120.25,124.1875,129.5,103.8375,2243144.0
2008-10-28,127.775,135.0625,137.475,127.5,166428.0
2008-10-29,140.5,135.2,143.75,132.5625,2738893.0
2008-10-31,142.25,134.375,148.75,132.4375,2593995.0
2008-11-03,139.9875,136.85,145.75,131.7625,1883005.0
2008-11-04,149.15,127.125,149.15,122.5,2355635.0
2008-11-05,128.75,126.6,137.225,125.0,2308291.0
2008-11-06,132.125,125.05,132.125,120.525,1965479.0
2008-11-07,125.0,131.2875,133.75,121.4375,1469430.0
2008-11-10,137.475,136.6125,138.125,128.7625,1024754.0
2008-11-11,135.5,132.2125,136.9375,130.0,1624694.0
2008-11-12,132.2125,133.725,138.6125,128.7625,1935511.0
2008-11-14,136.25,132.7125,137.125,130.875,1654366.0
2008-11-17,132.25,129.75,134.25,126.375,2022743.0
2008-11-18,130.0,120.7875,130.0,120.0,2438788.0
2008-11-19,122.5,120.6625,124.0,117.925,2043772.0
2008-11-20,120.0,117.3125,120.0,115.0,1254112.0
2008-11-21,117.425,126.6125,129.25,115.0,1711423.0
2008-11-24,126.0,129.975,132.9125,122.5625,2092639.0
2008-11-25,129.775,126.0,134.9875,125.0125,1443505.0
2008-11-26,125.8125,131.8625,132.5,124.2875,1533889.0
2008-11-28,129.5,139.85,142.0,129.5,3034516.0
2008-12-01,139.85,141.0375,148.4375,139.0875,2989676.0
2008-12-02,142.5,133.2125,142.5,130.7625,1664702.0
2008-12-03,134.0875,133.7,137.925,130.4,2499498.0
2008-12-04,133.75,137.35,138.425,125.8375,2064127.0
2008-12-05,134.6,130.45,136.325,129.5625,1776362.0
2008-12-08,133.75,130.5625,136.5625,128.1,1905351.0
2008-12-10,137.45,135.2625,139.2,132.375,2022095.0
2008-12-11,137.425,126.9125,137.425,125.5,1825063.0
2008-12-12,127.4875,120.325,127.4875,118.8125,1780259.0
2008-12-15,125.5,117.4125,125.5,116.8125,1499429.0
2008-12-16,117.5,119.8375,121.225,116.25,1461967.0
2008-12-17,121.3375,119.325,123.0,118.0,1619017.0
2008-12-18,118.725,127.625,128.525,118.0,1430984.0
2008-12-19,125.75,128.3875,133.5,123.525,1235997.0
2008-12-22,129.875,127.6375,129.875,125.85,1026713.0
2008-12-23,123.8,125.15,127.9,123.0625,891780.0
2008-12-24,124.175,119.5375,126.1875,118.0625,2287109.0
2008-12-26,116.3,117.9125,123.75,116.3,788641.0
2008-12-29,119.0,119.2,119.875,115.0,1218902.0
2008-12-30,121.25,120.6375,123.375,117.5,880632.0
2008-12-31,123.075,119.475,123.075,118.0625,635924.0
2009-01-01,120.0,124.2125,124.7125,119.2875,609108.0
2009-01-02,124.2625,124.575,127.175,123.5375,1343935.0
2009-01-05,125.5,128.8125,130.75,124.5,1207444.0
2009-01-06,128.75,126.6,130.5,124.5625,1479748.0
2009-01-07,129.75,126.2,129.95,116.15,2253457.0
2009-01-09,124.975,134.2375,137.45,121.25,3554995.0
2009-01-12,127.9125,128.1375,132.5,126.275,1898854.0
2009-01-13,124.9,131.4125,134.25,122.05,3339952.0
2009-01-14,132.0,134.7375,139.4,132.0,1489726.0
2009-01-15,130.0,127.6125,130.75,124.5875,1792881.0
2009-01-16,127.175,125.75,129.75,121.625,2447519.0
2009-01-19,129.475,125.1875,129.475,121.825,1717094.0
2009-01-20,123.675,124.1125,126.975,122.5,1158799.0
2009-01-21,122.75,123.075,125.25,121.25,917465.0
2009-01-22,123.75,124.15,126.0125,120.7875,1212034.0
2009-01-23,122.525,121.5375,124.725,120.825,757805.0
2009-01-27,122.75,124.775,128.75,122.75,1310989.0
2009-01-28,118.8,126.8625,127.5,118.8,1197349.0
2009-01-29,128.0125,127.35,129.5,124.025,2504259.0
2009-01-30,126.25,127.9,128.75,124.575,2176881.0
2009-02-02,127.2,122.825,127.2,121.7875,808673.0
2009-02-03,123.25,124.9625,127.45,123.25,952140.0
2009-02-04,125.75,124.6625,128.225,123.25,621189.0
2009-02-05,125.0,120.725,125.65,119.5625,1085387.0
2009-02-06,122.5,125.7,126.975,121.75,1710097.0
2009-02-09,125.0,128.75,130.9125,124.1625,1148806.0
2009-02-10,129.25,131.15,132.0,127.75,1697693.0
2009-02-11,129.5,128.6875,130.75,128.0,1125683.0
2009-02-12,128.0,127.475,128.925,126.025,711093.0
2009-02-13,127.5,127.8,130.0,126.75,814302.0
2009-02-16,126.9,125.1875,128.7375,124.5,625499.0
